metric,mean,std,min,max,median,count
pred_eigvec_cos_9,0.17837349281856119,0.24234548439447218,1.2466232493712312e-16,0.9923874501249506,0.0690764279214078,78
pred_eigvec_cos_10,0.20587548751130982,0.2309616059707481,2.1245447093969285e-16,0.9868366969389921,0.1288635987046891,78
pred_eigvec_cos_11,0.20755882870081388,0.2319108256234193,0.00013140153921933011,0.9951854219045555,0.11867750875284012,78
pred_eigvec_cos_12,0.14079436788184901,0.18894739065390764,1.5947036436288063e-15,0.9853574226771746,0.06887217108622007,78
pred_eigvec_cos_13,0.15658874209158632,0.20327668468416993,0.0005525272507133014,0.9810294239642848,0.07040495920641975,78
pred_eigvec_cos_14,0.17700061521099084,0.21597642785565027,3.692536687913853e-16,0.9924217745915362,0.11374162689067976,78
pred_eigvec_cos_15,0.18045493509225752,0.2094007998751312,0.0007725882583014304,0.988876259270954,0.10286016191409372,78
pred_eigvec_cos_16,0.15365882559861196,0.20893762160987014,9.413896375072695e-06,0.9798443556218002,0.0682420743737558,78
pred_eigvec_cos_17,0.16922899140509365,0.21302339748014387,4.020941519439005e-05,0.9826450507410349,0.09106243625217118,78
pred_eigvec_cos_18,0.1753115790695463,0.21523006365506483,3.2501525861979e-05,0.9859252399286381,0.09145649652815516,78
pred_eigvec_cos_19,0.17467876400126417,0.22514687004962736,5.93284181400212e-05,0.9735987504830332,0.09066933430019786,78
pred_eigvec_cos_20,0.15295459852760965,0.18374835962193942,1.4586980531136024e-13,0.964977047270475,0.08409532070981875,78
pred_eigvec_cos_21,0.1635361133414671,0.18693408336774137,1.032671266303367e-13,0.9032961652851323,0.1018376155843353,78
pred_eigvec_cos_22,0.1437528281469072,0.18907035940413516,3.6203305712454985e-14,0.9540307433231615,0.08671075554326252,78
pred_eigvec_cos_23,0.15617785178363117,0.19064619040759037,0.0008760883170820556,0.9170375653263131,0.08442012933205106,78
pred_eigvec_cos_24,0.1292267422205085,0.1519319130632789,1.8036794035997044e-05,0.9170885457463405,0.0777363840709801,78
pred_eigvec_cos_25,0.12717734174165596,0.13271576071295532,8.829702814480239e-05,0.6532593336282002,0.07794024890150772,78
pred_eigvec_cos_26,0.08676009792383434,0.08405211194256541,4.7603577807629995e-14,0.33431951225069095,0.04701131844338355,78
pred_eigvec_cos_27,0.12292219451789584,0.1790370124986112,3.5872187864421293e-13,0.9513978991418753,0.06303594908502218,78
pred_eigvec_cos_28,0.1425199155226356,0.18868120667269908,4.506118607588971e-13,0.9280281980042971,0.06413300112406647,78
pred_eigvec_cos_29,0.12358328059790682,0.154596170686694,2.157219081929401e-14,0.8815626807376955,0.06601778493385087,78
pred_eigvec_cos_30,0.10696060074068367,0.1189631530256813,2.0383305919952702e-14,0.5213422822487804,0.08424496745261217,78
pred_eigvec_cos_31,0.10787473944671148,0.11332713286457742,7.993272227819837e-07,0.7510965649791309,0.08193778239914656,78
pred_eigvec_cos_32,0.10566085119427744,0.1500786540457984,1.7535669013362197e-14,0.640421051822903,0.045484438257712104,78
pred_eigvec_cos_33,0.09880874374469573,0.1286020533933557,7.370796375210686e-05,0.6264145764524742,0.055420208643418886,78
pred_eigvec_cos_34,0.13175699691977089,0.14453941521909072,9.349716909951358e-05,0.6900819452689297,0.07611035245292488,78
pred_eigvec_cos_35,0.10845265349699038,0.1231381001714527,1.4204731334966956e-14,0.5397670540310601,0.06427531463583999,78
pred_eigvec_cos_36,0.09046604158482655,0.1075663889292933,1.9654838525372645e-06,0.5293032345005454,0.04792968707764853,78
pred_eigvec_cos_37,0.13116515221277383,0.19280975099484673,1.0595923552714454e-05,0.9256349045033316,0.05454242478449597,78
pred_eigvec_cos_38,0.0990653962773345,0.16167885159169698,9.652509755674091e-15,0.8557157697835348,0.03844738785294638,78
pred_eigvec_cos_39,0.10189161923045864,0.1445698251826528,0.0004524295508307152,0.7805763052910576,0.051328039088618674,78
pred_eigvec_cos_40,0.09712325032842592,0.1212426846706986,1.9812758517322478e-14,0.6751288805133218,0.05503539257680709,78
pred_eigvec_cos_41,0.10835851587480835,0.1330969679316611,1.5733052584704333e-14,0.7043538548139632,0.05893636001637257,78
pred_eigvec_cos_42,0.10270047990087487,0.12272193031120399,6.009841803721892e-14,0.695509486753463,0.059882752991348674,78
pred_eigvec_cos_43,0.08967294912083267,0.10577073874243104,3.497468405699167e-06,0.5676147616990892,0.05177020886511267,78
pred_eigvec_cos_44,0.10258246827808894,0.10018119680590563,5.212380951971071e-14,0.5023097348188122,0.08097438027508425,78
pred_eigvec_cos_45,0.0964486297232595,0.13244994990565742,1.8862233070907655e-13,0.7072077825735595,0.04599751588892605,78
pred_eigvec_cos_46,0.11126534897376761,0.14381750956369965,5.936550110178092e-07,0.7049845116194129,0.0406434365133435,78
pred_eigvec_cos_47,0.07570331627507093,0.11231811779762375,1.726886211814927e-14,0.7543033304062681,0.031058596448751474,78
pred_eigvec_cos_48,0.07801877346069659,0.08770146927241436,0.000259637567592484,0.4315642822171756,0.04520012426670801,78
pred_eigvec_cos_49,0.08328535416667716,0.1180569235389158,3.286267309385128e-07,0.7280124432627286,0.04449285196556607,78
pred_eigvec_cos_50,0.1103466047199158,0.12365085134396614,4.5652341493703386e-14,0.5434947739046708,0.06511372481553507,78
pred_eigvec_cos_51,0.10541584348452403,0.13915870748835038,1.8260616262223466e-13,0.7867853807686426,0.06073869792498843,78
pred_eigvec_cos_52,0.09036495296965762,0.14254680978335516,7.231946202188217e-06,0.8018643398581565,0.026140456234142014,78
pred_eigvec_cos_53,0.10373836133579169,0.12021027769751623,1.2762677460381507e-14,0.4790466098281464,0.05031308847473275,78
pred_eigvec_cos_54,0.09920279901383185,0.11420658928013201,1.682029028797743e-14,0.543320855071262,0.06206154277938014,78
pred_eigvec_cos_55,0.08028061737206264,0.08280552372605149,5.596796396986339e-07,0.3762639512376489,0.050390095119414294,78
pred_eigvec_cos_56,0.06963744222181323,0.07025676109022637,4.161300291277944e-07,0.37949645762668627,0.04486991826601338,78
pred_eigvec_cos_57,0.08026419176094222,0.09567366719513268,2.0182117282655915e-13,0.5333418058638927,0.04810406513613892,78
pred_eigvec_cos_58,0.08241278109030443,0.11115765120980697,2.652117555424422e-07,0.5433809120278968,0.040086751558359716,78
pred_eigvec_cos_59,0.08869214646480393,0.12132027878767657,2.861294419453063e-06,0.6474722254512387,0.04260702425787766,78
robust_eigvec_cos_top5,0.4571297833842674,0.2728281506947793,0.015010054680386848,0.9994214813644093,0.41877563300958076,78
robust_eigvec_cos_top10,0.36567584138293713,0.217067974608331,0.009428649897948508,0.9984323394499187,0.33070607174808064,78
robust_eigvec_cos_top20,0.2766470983198126,0.15830987661612267,0.05633808508278043,0.8923202392848688,0.2476727695422664,78
